Sector,Mean Salary,Median Salary,Std Salary,Count,Women Percentage
Havacılık,51840.91,50500.0,16540.99,22,95.45
Bilgi Teknolojileri ve Yazılım,44122.61,45500.0,19313.17,261,80.84
Otomotiv,40409.09,35500.0,16868.44,77,87.01
Finans ve Muhasebe,39928.57,35500.0,18026.61,98,89.8
Perakende ve E-tıcaret,37666.67,35500.0,15653.27,81,88.89
İnşaat,37474.58,35500.0,15708.39,59,83.05
Sağlık ve Tıp,35757.89,35500.0,16475.78,95,96.84
Çevre ve Enerji,35420.0,35500.0,16177.2,25,84.0
Telekomünikasyon,35080.65,35500.0,16548.97,31,96.77
Mühendislik,35013.51,25500.0,14471.2,111,88.29
Gıda ve İçecek,34913.79,35500.0,14774.37,58,81.03
Tekstil ve Hazır Giyim,34550.72,35500.0,15320.39,69,88.41
Üretim,34017.65,35500.0,13996.69,85,83.53
Diğer,33898.73,35500.0,15180.0,237,90.3
Dijital Medya ve Eğlence,32250.0,25500.0,13307.02,76,94.74
Eğitim,31922.62,25500.0,15464.79,84,94.05
Dağıtım ve Toptan Tıcaret,30000.0,35500.0,11429.13,13,100.0
Turizm ve Konaklama,29851.85,25500.0,12919.73,27,88.89
